ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045785	positive regulation of cell adhesion	17/181	397/18493	3.89324733210398e-07	0.00120145612668729	0.000972902017517352	APBB1IP/CCL5/CD3E/CORO1A/CX3CL1/EMID1/FOXF1/HAS2/IL18/IL2RA/LILRB4/RHOD/SASH3/SFRP1/SFRP2/SMOC2/VAV1	17
GO:0060485	mesenchyme development	13/181	269/18493	2.57482698745269e-06	0.0039729580416395	0.0032171785622172	ACVRL1/FOXF1/FOXF2/FRZB/HAS2/MSX2/OSR1/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/WNT11	13
GO:0050727	regulation of inflammatory response	16/181	425/18493	4.59203232923433e-06	0.00472367058933905	0.00382508236828151	AGT/C1QA/C1QB/C1QC/C7/CCL5/CX3CL1/FABP4/FCER1G/FOXF1/HCK/IL18/IL2RA/PBK/S100A9/SEMA7A	16
GO:0060026	convergent extension	4/181	15/18493	1.11376020451038e-05	0.00687412798223809	0.00556645626422663	FRZB/SFRP1/SFRP2/WNT11	4
GO:0030308	negative regulation of cell growth	10/181	184/18493	1.38492378409649e-05	0.00712312466286961	0.00576808607621941	ACVRL1/AGT/ENO1/FRZB/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/WNT11	10
GO:0002573	myeloid leukocyte differentiation	10/181	197/18493	2.49885274285651e-05	0.0110163708063645	0.00892071640833285	BATF/C1QC/CSF1R/FCER1G/LILRB4/OSCAR/PDE1B/SFRP1/SPI1/TYROBP	10
GO:0031589	cell-substrate adhesion	13/181	338/18493	2.96772230700619e-05	0.0114479887992764	0.00927022731162196	ACTN1/ACVRL1/CD3E/CORO1A/CX3CL1/EMID1/FERMT3/FOXF1/HAS2/RHOD/SFRP1/SIGLEC1/SMOC2	13
GO:0007229	integrin-mediated signaling pathway	7/181	99/18493	5.34482787366522e-05	0.0183268209090343	0.0148404928328435	FCER1G/FERMT3/HCK/LIMS2/SEMA7A/TYROBP/VAV1	7
GO:0071156	regulation of cell cycle arrest	7/181	107/18493	8.76786184956175e-05	0.0208134610978617	0.0168540971608022	AURKA/BTG2/CDK4/FOXM1/GATA6/GTSE1/PLAGL1	7
GO:0140014	mitotic nuclear division	11/181	277/18493	9.266591291908e-05	0.0208134610978617	0.0168540971608022	AURKA/CCNB2/CDC20/CDCA8/DLGAP5/KIF18A/KIF18B/KIF2C/KIF4A/NCAPH/TPX2	11
GO:0007159	leukocyte cell-cell adhesion	12/181	327/18493	9.44227010272405e-05	0.0208134610978617	0.0168540971608022	CCL5/CD3E/CORO1A/FERMT3/HAS2/IL18/IL2RA/LILRB4/S100A9/SASH3/SELPLG/VAV1	12
GO:0000070	mitotic sister chromatid segregation	8/181	153/18493	0.000133501145314856	0.0249979553319389	0.0202425711901023	CDC20/CDCA8/DLGAP5/KIF18A/KIF18B/KIF2C/KIF4A/NCAPH	8
GO:0033632	regulation of cell-cell adhesion mediated by integrin	3/181	11/18493	0.000143614853069604	0.0249979553319389	0.0202425711901023	CCL5/CD3E/FERMT3	3
GO:0031663	lipopolysaccharide-mediated signaling pathway	5/181	56/18493	0.000216702882565179	0.0286707912610226	0.0232167201465592	CCL5/CD14/CX3CL1/HCK/IL18	5
GO:0045926	negative regulation of growth	10/181	260/18493	0.000250113793539642	0.0286707912610226	0.0232167201465592	ACVRL1/AGT/ENO1/FRZB/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/WNT11	10
GO:0061448	connective tissue development	10/181	263/18493	0.000274115478956913	0.0286707912610226	0.0232167201465592	ACVRL1/CDK4/EBF2/FRZB/MGP/MSX2/OSR1/SFRP2/VWA1/WNT11	10
GO:0016049	cell growth	14/181	485/18493	0.000309432888002475	0.0286707912610226	0.0232167201465592	ACVRL1/AGT/AURKA/CPNE5/ENO1/FRZB/RASGRP2/S100A9/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/WNT11	14
GO:2000095	regulation of Wnt signaling pathway, planar cell polarity pathway	3/181	14/18493	0.000310037102139335	0.0286707912610226	0.0232167201465592	RSPO3/SFRP1/SFRP2	3
GO:0071214	cellular response to abiotic stimulus	11/181	319/18493	0.000315880396265317	0.0286707912610226	0.0232167201465592	AGT/MME/OSR1/PBK/RHOB/SFRP1/SFRP2/SLC2A1/TLR5/TMEM150C/WNT11	11
GO:0104004	cellular response to environmental stimulus	11/181	319/18493	0.000315880396265317	0.0286707912610226	0.0232167201465592	AGT/MME/OSR1/PBK/RHOB/SFRP1/SFRP2/SLC2A1/TLR5/TMEM150C/WNT11	11
GO:0042102	positive regulation of T cell proliferation	6/181	97/18493	0.000382651086559879	0.0297676137277983	0.0241048930619753	CCL5/CD3E/CORO1A/IL18/IL2RA/SASH3	6
GO:0045765	regulation of angiogenesis	12/181	381/18493	0.000385840748254028	0.0297676137277983	0.0241048930619753	ACVRL1/AGT/CX3CL1/E2F2/GATA6/HK2/ISM1/PGK1/RHOB/SFRP1/SFRP2/SMOC2	12
