ID	Description	Count	GeneRatio	geneID
GO:0000003	reproduction	19	19/197	AGT/AURKA/B4GALNT1/CDC20/FOSL1/FOXF2/GATA6/HAS2/KIF18A/MMP19/MSX2/NCAPH/OSR1/PTGFR/RAD54L/RSPO3/SFRP1/SFRP2/SLC2A1
GO:0008152	metabolic process	114	114/197	ABCG2/ACOX2/ACTN1/ACVRL1/AGT/ALDH1A3/ALOX5AP/AOC3/ARNTL2/AURKA/B4GALNT1/BATF/BCAR3/BTG2/C1QA/C1QB/C1QC/C7/CCL5/CCNB2/CD3D/CD3E/CDC20/CDC42EP5/CDK4/CERS4/COX7A1/CPXM1/CPXM2/CSF1R/CTSF/CX3CL1/CYGB/DLGAP5/E2F2/EBF2/ENO1/EPHX2/F10/FABP4/FAXDC2/FCER1G/FMOD/FOSL1/FOXF1/FOXF2/FOXM1/FPR1/FXYD1/GATA6/GPX3/GRIN2D/HAS2/HCK/HK2/HMGA1/IL18/IL2RA/IL2RG/ITIH5/ITM2A/KCNH2/KLF15/LILRB4/MAOB/MAP1LC3A/MARC2/MELK/MET/METTL7A/MME/MMP19/MPV17L/MSX2/NAALADL1/NCF4/OGN/OSR1/PBK/PDE1A/PDE1B/PFKFB4/PGK1/PLAGL1/PPP1R14A/PRKAR2B/PRR5/PRRX2/PTGDS/PTGFR/PTPRN2/RAD54L/RASL11A/S100A9/SELENBP1/SEMA7A/SFRP1/SFRP2/SHC2/SLC2A1/SLPI/SMOC2/SPI1/TBXAS1/TMEM150C/TPX2/TRBC2/TTLL7/UHRF1/VAV1/VSIG4/VWA1/WNT11/ZNF423
GO:0001906	cell killing	3	3/197	CORO1A/IL18/VAV1
GO:0002376	immune system process	55	55/197	ACTN1/APBB1IP/BATF/BTNL9/C1QA/C1QB/C1QC/C7/CCL5/CCNB2/CD14/CD300C/CD3D/CD3E/CORO1A/CSF1R/CTSF/CX3CL1/FCER1G/FOXF1/FPR1/HCK/IL18/IL2RA/IL2RG/ITM2A/KIF18A/KIF2C/KIF4A/LAIR1/LILRB4/LILRB5/MELK/METTL7A/MME/NCF4/NDRG1/OSCAR/PDE1B/PTPRN2/S100A9/SASH3/SELPLG/SEMA7A/SFRP1/SFRP2/SLPI/SPI1/SUSD2/SYNGR1/TLR5/TRBC2/TYROBP/VAV1/VSIG4
GO:0006791	sulfur utilization	0	0/197	
GO:0006794	phosphorus utilization	0	0/197	
GO:0040007	growth	20	20/197	ACVRL1/AGT/AURKA/CCNB2/CDK4/CPNE5/ENO1/FRZB/GATA6/MSX2/RASGRP2/S100A9/SASH3/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/VWA1/WNT11
GO:0007610	behavior	13	13/197	AGT/ALDH1A3/BTG2/FOSL1/GNG7/GNG8/GRIN2D/LGI4/PDE1B/PRKAR2B/PTGDS/SNCG/VWA1
GO:0008283	cell proliferation	40	40/197	ACVRL1/AGT/BTG2/CCL5/CCNB2/CD3E/CDC20/CDK4/CORO1A/CSF1R/CX3CL1/DLGAP5/ELN/FOSL1/FOXF1/FOXM1/FRZB/GATA6/HAS2/HCK/HMGA1/IL18/IL2RA/KIF2C/LGI4/LIMS2/MELK/MET/MSX2/NDRG1/OGN/OSR1/PDE1A/PTGFR/SASH3/SFRP1/SFRP2/TPX2/UHRF1/WNT11
GO:0009758	carbohydrate utilization	0	0/197	
GO:0009987	cellular process	162	162/197	ABCG2/ACOX2/ACTN1/ACVRL1/AGT/ALDH1A3/ALOX5AP/ANGPTL1/AOC3/APBB1IP/ARHGEF25/ARNTL2/AURKA/B4GALNT1/BATF/BCAR3/BTG2/BTNL9/C1QA/C1QC/C7/CCL5/CCNB2/CD14/CD3D/CD3E/CDC20/CDC42EP5/CDCA8/CDK4/CERS4/CORO1A/COX7A1/CPNE5/CPXM1/CPXM2/CSF1R/CTSF/CX3CL1/CYGB/CYTH4/DEPDC7/DLGAP5/E2F2/EBF2/ELN/ENO1/EPHX2/F10/FABP4/FAIM2/FCER1G/FERMT3/FMOD/FOSL1/FOXF1/FOXF2/FOXM1/FPR1/FRZB/FXYD1/GATA6/GNA15/GNG7/GNG8/GPX3/GRIN2D/GTSE1/HAS2/HCK/HK2/HMGA1/IGSF21/IL18/IL2RA/IL2RG/ITIH5/ITM2A/KCNH2/KIF18A/KIF18B/KIF2C/KIF4A/KLF15/LAIR1/LAMA2/LAPTM5/LGI4/LILRB4/LILRB5/LIMS2/LYNX1/MAOB/MAP1LC3A/MARC2/MELK/MET/METTL7A/MGP/MME/MMP19/MPV17L/MSX2/NCAPH/NCF4/NDRG1/OGN/OSCAR/OSR1/PBK/PDE1A/PDE1B/PFKFB4/PGK1/PLAGL1/PPP1R14A/PRKAR2B/PRR11/PRR5/PRRX2/PTGDS/PTGFR/PTPRN2/RAD54L/RASGRP2/RASL11A/RHOB/RHOD/RSPO3/S100A9/SASH3/SCN4B/SELPLG/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SHC2/SLC2A1/SLPI/SMOC1/SMOC2/SNCG/SPI1/SUSD2/SYNGR1/TBXAS1/TLR5/TMEM150C/TNNT3/TPX2/TRBC2/TTLL7/TUBA1C/TYROBP/UHRF1/VAV1/VSTM2L/VWA1/WNT11/ZNF423
GO:0015976	carbon utilization	0	0/197	
GO:0019740	nitrogen utilization	0	0/197	
GO:0022414	reproductive process	19	19/197	AGT/AURKA/B4GALNT1/CDC20/FOSL1/FOXF2/GATA6/HAS2/KIF18A/MMP19/MSX2/NCAPH/OSR1/PTGFR/RAD54L/RSPO3/SFRP1/SFRP2/SLC2A1
GO:0022610	biological adhesion	32	32/197	ACTN1/ACVRL1/AOC3/APBB1IP/CCL5/CD3E/CLDN23/CORO1A/CX3CL1/EMID1/FERMT3/FOXF1/HAS2/HCK/IGSF21/IL18/IL2RA/LAMA2/LILRB4/LIMS2/RHOB/RHOD/S100A9/SASH3/SELPLG/SFRP1/SFRP2/SIGLEC1/SMOC2/SVEP1/VAV1/VSTM2L
GO:0023052	signaling	92	92/197	ACVRL1/AGT/ANGPTL1/APBB1IP/ARHGEF25/AURKA/BATF/BCAR3/BTG2/BTNL9/C1QA/CCL5/CD14/CD3D/CD3E/CDC20/CDC42EP5/CDK4/CORO1A/CSF1R/CX3CL1/CYTH4/DEPDC7/DLGAP5/E2F2/ENO1/F10/FAIM2/FCER1G/FERMT3/FMOD/FOXF1/FOXM1/FPR1/FRZB/GNA15/GNG7/GNG8/GRIN2D/GTSE1/HCK/IL18/IL2RA/IL2RG/KCNH2/LAMA2/LILRB4/LILRB5/LIMS2/LYNX1/MELK/MET/MPV17L/MSX2/NCF4/NDRG1/OGN/OSCAR/OSR1/PBK/PDE1A/PDE1B/PGK1/PLAGL1/PRKAR2B/PRR5/PTGFR/PTPRN2/RASGRP2/RASL11A/RHOB/RHOD/RSPO3/S100A9/SCN4B/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SHC2/SLC2A1/SMOC2/SNCG/SYNGR1/TLR5/TPX2/TRBC2/TYROBP/VAV1/WNT11/ZNF423
