Samples	Gain	Loss	MetHyper	MetHypo
TCGA-3B-A9HI-01	10331	17672	22706	117940
TCGA-3B-A9HJ-01	1008	7	31165	107054
TCGA-3B-A9HL-01	6191	9253	31001	113901
TCGA-3B-A9HO-01	2090	7779	34198	107952
TCGA-3B-A9HP-01	8862	5471	36887	110619
TCGA-3B-A9HQ-01	8473	13120	30846	112592
TCGA-3B-A9HR-01	23142	20986	37710	116199
TCGA-3B-A9HS-01	11130	12977	30855	101455
TCGA-3B-A9HT-01	2893	23	24076	108646
TCGA-3B-A9HU-01	293	16680	30984	109399
TCGA-3B-A9HV-01	6750	9077	22885	119756
TCGA-3B-A9HX-01	4019	22258	21777	112979
TCGA-3B-A9HY-01	1735	13808	36143	116146
TCGA-3B-A9HZ-01	2171	13514	35657	107816
TCGA-3B-A9I0-01	499	9378	38714	113505
TCGA-3B-A9I1-01	25857	16169	41224	112559
TCGA-3B-A9I3-01	669	103	24435	111888
TCGA-DX-A1KU-01	6402	1349	27754	112968
TCGA-DX-A1KW-01	16448	19358	33771	109912
TCGA-DX-A1KX-01	16134	10880	24671	116319
TCGA-DX-A1KY-01	23017	12178	39492	109318
TCGA-DX-A1KZ-01	8368	6140	32841	112858
TCGA-DX-A1L0-01	15202	14257	30781	114826
TCGA-DX-A1L1-01	12138	6644	31358	95272
TCGA-DX-A1L2-01	4596	11788	25439	115754
TCGA-DX-A1L3-01	2801	2227	31174	108633
TCGA-DX-A1L4-01	1514	4	32371	115471
TCGA-DX-A23R-01	12995	14909	16613	122105
TCGA-DX-A23T-01	4186	8	28952	111182
TCGA-DX-A23U-01	1164	0	26902	118931
TCGA-DX-A23V-01	978	437	32481	109855
TCGA-DX-A23Y-01	8384	15302	35037	103650
TCGA-DX-A23Z-01	2423	0	28523	115643
TCGA-DX-A240-01	3975	1	33425	116380
TCGA-DX-A2IZ-01	4975	9533	47115	106771
TCGA-DX-A2J0-01	2681	14190	32846	113993
TCGA-DX-A2J1-01	1779	0	29018	115508
TCGA-DX-A2J4-01	1389	5	31198	115102
TCGA-DX-A3LS-01	4256	132	31648	106859
TCGA-DX-A3LT-01	4103	13528	23929	115647
TCGA-DX-A3LU-01	3807	2	30651	112524
TCGA-DX-A3LW-01	3421	5193	25998	120464
TCGA-DX-A3LY-01	8141	6447	30843	103924
TCGA-DX-A3M1-01	8486	13012	21567	118109
TCGA-DX-A3M2-01	4534	892	29625	111905
TCGA-DX-A3U5-01	8469	13214	33575	108068
TCGA-DX-A3U6-01	965	8	28715	105718
TCGA-DX-A3U7-01	23761	20504	42416	110314
TCGA-DX-A3U8-01	0	452	25782	96309
TCGA-DX-A3U9-01	5590	17327	23668	121080
TCGA-DX-A3UA-01	6771	5688	19108	118166
TCGA-DX-A3UB-01	0	2188	32183	113195
TCGA-DX-A3UC-01	3125	11227	37845	119014
TCGA-DX-A3UD-01	9386	13353	33632	115966
TCGA-DX-A3UE-01	2841	10216	39108	115037
TCGA-DX-A3UF-01	17135	20043	40755	104975
TCGA-DX-A48J-01	2	7339	35779	122207
TCGA-DX-A48K-01	6093	11534	22009	113072
TCGA-DX-A48L-01	5641	11924	31996	112454
TCGA-DX-A48N-01	7346	5345	35407	115768
TCGA-DX-A48O-01	3544	15695	41150	112413
TCGA-DX-A48P-01	2848	11351	33533	116106
TCGA-DX-A48R-01	3614	19829	40123	118910
TCGA-DX-A48U-01	768	11788	38975	122823
TCGA-DX-A6B7-01	243	9665	39366	120214
TCGA-DX-A6B8-01	21102	26502	18692	127914
TCGA-DX-A6B9-01	1011	8890	32261	118069
TCGA-DX-A6BA-01	11770	17169	43765	107648
TCGA-DX-A6BB-01	14146	8011	35387	118406
TCGA-DX-A6BE-01	1665	2	31821	111234
TCGA-DX-A6BF-01	5803	8721	26489	111669
TCGA-DX-A6BG-01	1708	6	24274	114820
TCGA-DX-A6BH-01	1439	2087	29895	112122
TCGA-DX-A6YQ-01	17682	9154	22146	107781
TCGA-DX-A6YR-01	17692	18082	24044	120502
TCGA-DX-A6YS-01	19774	19553	22034	126530
TCGA-DX-A6YT-01	16430	21409	36616	115203
TCGA-DX-A6YU-01	12320	23398	23293	111351
TCGA-DX-A6YV-01	19011	21216	23358	131347
TCGA-DX-A6YX-01	26283	28764	30843	111687
TCGA-DX-A6YZ-01	6682	19328	22439	112698
TCGA-DX-A6Z0-01	10694	15463	28222	110240
TCGA-DX-A6Z2-01	6578	12758	30104	111538
TCGA-DX-A7EF-01	18527	11268	26291	118535
TCGA-DX-A7EI-01	19633	22960	32858	113902
TCGA-DX-A7EL-01	7356	7324	36014	106229
TCGA-DX-A7EM-01	5713	17194	39403	111590
TCGA-DX-A7EN-01	1846	15445	30709	124149
TCGA-DX-A7EO-01	15	5741	24510	123495
TCGA-DX-A7EQ-01	149	1481	22399	118927
TCGA-DX-A7ER-01	28	5	24693	125848
