gName	FisherP	Mut_C1	Nor_C1	Mut_C234	Nor_C234	padj
KNDC1	0.00104377860173081	4	42	0	203	1
KLHL1	0.00104377860173081	4	42	0	203	1
PLCB4	0.00104377860173081	4	42	0	203	1
EPHA3	0.00104377860173081	4	42	0	203	1
TTN	0.00187514701787798	12	34	17	186	1
KEL	0.00450315911032436	4	42	1	202	1
DRP2	0.00450315911032436	4	42	1	202	1
ARID2	0.00450315911032436	4	42	1	202	1
LAMA3	0.00450315911032436	4	42	1	202	1
FLNC	0.00450315911032436	4	42	1	202	1
ATP1A2	0.00450315911032436	4	42	1	202	1
SMC5	0.00597138455873907	3	43	0	203	1
TICRR	0.00597138455873907	3	43	0	203	1
ASPDH	0.00597138455873907	3	43	0	203	1
TBC1D9	0.00597138455873907	3	43	0	203	1
SOGA3	0.00597138455873907	3	43	0	203	1
RET	0.00597138455873907	3	43	0	203	1
FASN	0.00597138455873907	3	43	0	203	1
NOTCH1	0.00597138455873907	3	43	0	203	1
ANO3	0.00597138455873907	3	43	0	203	1
DENND4B	0.00597138455873907	3	43	0	203	1
EDEM2	0.00597138455873907	3	43	0	203	1
SNX29	0.00597138455873907	3	43	0	203	1
TP53BP2	0.00597138455873907	3	43	0	203	1
MCF2L	0.00597138455873907	3	43	0	203	1
HECW1	0.00597138455873907	3	43	0	203	1
CNTNAP2	0.00597138455873907	3	43	0	203	1
TNRC6A	0.00597138455873907	3	43	0	203	1
LHX2	0.00597138455873907	3	43	0	203	1
RBM15B	0.00597138455873907	3	43	0	203	1
TBC1D30	0.00597138455873907	3	43	0	203	1
CPNE6	0.00597138455873907	3	43	0	203	1
DAPK1	0.00597138455873907	3	43	0	203	1
ACTB	0.00597138455873907	3	43	0	203	1
RECQL4	0.00597138455873907	3	43	0	203	1
SOBP	0.00597138455873907	3	43	0	203	1
CLDN6	0.00597138455873907	3	43	0	203	1
OR51D1	0.00597138455873907	3	43	0	203	1
PIK3C2G	0.00637693163324104	5	41	3	200	1
DNAH8	0.0111571002783111	6	40	6	197	1
ZFHX2	0.0116629425399955	4	42	2	201	1
SRGAP3	0.0116629425399955	4	42	2	201	1
MAPK6	0.0116629425399955	4	42	2	201	1
EP400	0.0116629425399955	4	42	2	201	1
KIF21B	0.0116629425399955	4	42	2	201	1
NOTCH3	0.0116629425399955	4	42	2	201	1
COL11A1	0.0116629425399955	4	42	2	201	1
DNAH6	0.0116629425399955	4	42	2	201	1
PLCXD3	0.0207542024297638	3	43	1	202	1
IGHA1	0.0207542024297638	3	43	1	202	1
NUP54	0.0207542024297638	3	43	1	202	1
CCDC171	0.0207542024297638	3	43	1	202	1
DYRK1A	0.0207542024297638	3	43	1	202	1
NFKB1	0.0207542024297638	3	43	1	202	1
TBC1D22B	0.0207542024297638	3	43	1	202	1
PACS2	0.0207542024297638	3	43	1	202	1
ST8SIA4	0.0207542024297638	3	43	1	202	1
EPRS	0.0207542024297638	3	43	1	202	1
SEC14L5	0.0207542024297638	3	43	1	202	1
ADAMTS17	0.0207542024297638	3	43	1	202	1
CREB5	0.0207542024297638	3	43	1	202	1
ZFHX3	0.0207542024297638	3	43	1	202	1
GAD2	0.0207542024297638	3	43	1	202	1
FLJ36000	0.0207542024297638	3	43	1	202	1
GABRG1	0.0207542024297638	3	43	1	202	1
ADGRG4	0.0207542024297638	3	43	1	202	1
ABCG1	0.0207542024297638	3	43	1	202	1
RTEL1	0.0207542024297638	3	43	1	202	1
TAB3	0.0207542024297638	3	43	1	202	1
XIST	0.0207542024297638	3	43	1	202	1
CNOT1	0.0207542024297638	3	43	1	202	1
MECOM	0.0207542024297638	3	43	1	202	1
TLR5	0.0207542024297638	3	43	1	202	1
ATP8A1	0.0207542024297638	3	43	1	202	1
