CnvRegion	CnvGene	ExpGene	Cor	Cor.pvalue	Z_value
CKS1B	CKS1B	CKS1B	0.636029112767896	1.24184401120848e-29	0.751476713894094
XPO4	XPO4	XPO4	0.522601238938064	7.47633142997614e-19	0.57991168692379
CHD9	CHD9	CHD9	0.318665696531617	2.78087545291031e-07	0.330161290924278
NLK	NLK	NLK	0.425751144214324	2.19640245482544e-12	0.454695611770527
EMILIN2	EMILIN2	EMILIN2	0.130423366636818	0.0397360238324713	0.131170518695331
TNRC18	TNRC18	TNRC18	0.380067375330197	5.59422166148873e-10	0.40013839870789
C18orf32	C18orf32	C18orf32	0.608263193282587	1.37419905824684e-26	0.706159955451038
MME	MME	MME	0.0799720216532605	0.208535475823229	0.0801431665394811
HNRNPL	HNRNPL	HNRNPL	0.461256191081572	1.60102135581115e-14	0.498905799915748
AP1B1	AP1B1	AP1B1	0.327095341226305	1.28127280133483e-07	0.339572112674205
APPL2	APPL2	APPL2	0.44803303769035	1.0704342178219e-13	0.482236597586115
TANC1	TANC1	TANC1	0.404314485478294	3.28379859525588e-11	0.428795842201925
C20orf194	C20orf194	C20orf194	0.348512560419417	1.60548823593372e-08	0.363749669876337
TLCD2	TLCD2	TLCD2	0.28578386108512	4.5870403023211e-06	0.293969093939355
MEST	MEST	MEST	0.0231526893196018	0.716191295539706	0.023156827627406
STRN3	STRN3	STRN3	0.599640330926302	1.0558013384097e-25	0.692585387004201
PMS2P4	PMS2P4	PMS2P4	0.422713753054828	3.26028540446833e-12	0.450991590880231
EXOC6B	EXOC6B	EXOC6B	0.0371369390565789	0.559715848195727	0.037154025695448
ARHGAP30	ARHGAP30	ARHGAP30	-0.0427235244468613	0.502169486125341	-0.0427495473624381
URGCP	URGCP	URGCP	0.52590532524609	4.11897945374928e-19	0.584468065639173
APBA3	APBA3	APBA3	0.657223217848279	3.56974191980986e-32	0.787909632987571
TPST2	TPST2	TPST2	0.15530590911564	0.0141568638083621	0.156572952537854
